name
Первое озеро
озеро Смолино
пруд Карповый
Свердловский тракт
Свердловский тракт
Транссиб
Транссиб
проспект Победы
проспект Победы
улица Блюхера
улица Свободы
автодорога Меридиан
улица Дзержинского
улица Разина
Железнодорожная улица
2 платформа
Комнаты отдыха
Транссиб
Бродокалмакский тракт
«Иртыш»
«Иртыш»
«Иртыш»
озеро Синеглазово
Копейское шоссе
улица Машиностроителей
Копейское шоссе
улица Рождественского
Енисейская улица
Енисейская улица
автодорога Меридиан
Общежитие ЮУрГУ №2
Общежитие ЮУрГУ №7
Общежитие ЮУрГУ №6
улица Воровского
автодорога Меридиан
улица Тимирязева
улица Евтеева
улица Коммуны
Советская улица
Алое поле
улица Курчатова
улица Курчатова
улица Сони Кривой
улица Кирова
улица Труда
Северо-Крымская улица
Северо-Крымская улица
улица Елькина
автодорога Меридиан
участок 1 ЧЭМК
Красноармейская улица
проспект Победы
улица Братьев Кашириных
улица Доватора
улица Цвиллинга
улица Блюхера
улица Дарвина
Героическая улица
улица Гончаренко
автодорога Меридиан
улица Барбюса
улица Дзержинского
улица Масленникова
улица Дзержинского
улица Фрунзе
Латвийская улица
Гомельская улица
Бобруйская улица
Эстонская улица
Новороссийская улица
Новороссийская улица
Новороссийская улица
Могилёвская улица
Эстонская улица
улица Толстого
Львовская улица
улица Гончаренко
Севастопольская улица
Батумская улица
улица Василевского
улица Энергетиков
Цимлянская улица
Новороссийская улица
улица Героев Танкограда
улица Бажова
улица Горького
Салютная улица
Ферросплавная улица
Механическая улица
автодорога Меридиан
автодорога Меридиан
автодорога Меридиан
улица Болейко
улица Болейко
Каслинская улица
Комсомольский проспект
Солнечная улица
улица Ворошилова
Молдавская улица
улица Чичерина
улица 250-летия Челябинска
улица Маршала Чуйкова
улица Университетская Набережная
2-й Институтский переулок
улица Захаренко
Лыжная база
улица Чайковского
улица Чайковского
улица Косарева
Цинковая улица
улица Куйбышева
улица Калинина
улица Кирова
Краснознамённая улица
улица Харлова
улица Шота Руставели
переулок Энергетиков
пруд «Девичьи Слёзы»
улица Первой Пятилетки
улица Дарвина
улица Кузнецова
улица Дарвина
Троицкий тракт
Троицкий мост
Троицкий тракт
Троицкий тракт
Троицкий тракт
улица Фёдорова
улица Карпинского
Камышовая улица
Железнодорожная улица
2-я Потребительская улица
1-я Потребительская улица
Троицкий тракт
Троицкий тракт
Нефтебазовая улица
1-я Окружная улица
улица Сулимова
Трактовая улица
улица Каменный Лог
Гинекологический корпус (неврология  терапия)
Терапевтический корпус
Пищеблок
Прачечная
Хозблок/Музей
Храм в честь иконы Божией матери «Нечаянной Радости»
Детский корпус
Блок Б
Патологоанатомическое отделение
улица Карла Либкнехта
Южная улица
Общежитие ЧГАА
Общежитие Челябинского автотранспортного техникума
Городская улица
Экологическая тропа «Лесные сказки»
Тернопольская улица
Тернопольская улица
ЮУрГУ 3а
ЮУрГУ 3в
Обкомовская дорога
1-й Институтский переулок
Малая Южно-Уральская железная дорога
ЮУрГУ 2
улица Татьяничевой
улица Татьяничевой
Витебская улица
ЮУрГУ - ГУК Западное крыло
Красноармейская улица
Уфимское шоссе
Общежитие ЮУрГУ №5
ЮУрГУ - Корпус 4 (Юр.фак-т)
Общежитие ЮУрГУ №1
"ЮУрГУ - Комплекс ""Сигма"""
ЮУрГУ - Корпус 5
НИИЦС
лаб. АТ
лаб. АС
Лаб. корпус 1
Спортивный корпус ЮУрГУ
Учебно-спортивный комплекс ЮУрГУ
лаб. АК  МТ
лаб. АК
ЮУрГУ  корпус 3Г
3д
РСУ
Издательский центр ЮУрГУ
Склад
Энергоцентр
Общежитие ЮУрГУ №3
Диспетчерский пункт «ПКиО»
Полёт
улица Румянцева
улица Сталеваров
улица Дегтярёва
Свердловский тракт
Свердловский тракт
Свердловский тракт
Свердловский тракт
Свердловский тракт
Свердловский тракт
Свердловский тракт
улица Северный Луч
улица Северный Луч
Черкасская улица
шоссе Металлургов
улица 50-летия ВЛКСМ
улица 50-летия ВЛКСМ
улица Клары Цеткин
Молодогвардейская улица
Новороссийская улица
Новороссийская улица
Новороссийская улица
Новороссийская улица
5-я Электровозная улица
улица Чапаева
Троицкий тракт
Троицкий тракт
Троицкий тракт
Мост 10 км
Маслобазовая улица
2-я Базовая улица
Новоэлеваторная улица
«Урал»
«Урал»
«Урал»
«Урал»
улица Коммуны
Солнечная улица
Весёлая улица
Советская улица
Северная улица
Северная улица
улица Татищева
Жилая улица
улица Салавата Юлаева
Северо-Крымская улица
Свердловский проспект
Кыштымская улица
улица Косарева
Северо-Крымская улица
улица Островского
улица Труда
улица Чайковского
Челябгипромез
Дом архитектора
Лазурная улица
2-я Павелецкая улица
Боровой переулок
Аргазинская улица
Тургоякская улица
шоссе Металлургов
Радонежская улица
Бродокалмакский тракт
«Иртыш»
«Иртыш»
Автодорожная улица
Общежитие педуниверситета №4
Общежитие ЮУГМУ №1
Общежитие ЮУГМУ №2
Челябинский зоопарк
Ледовый дворец «Уральская молния»
улица Пушкина
улица Пушкина
улица Ловина
Копейское шоссе
Копейское шоссе
автодорога Меридиан
улица Ловина
Красноармейская улица
Артиллерийская улица
Арт-центр «Театр+Кино»
улица Тимирязева
улица Тимирязева
улица Цвиллинга
Северная улица
улица Кирова
улица Кирова
улица Труда
улица Цвиллинга
улица Цвиллинга
улица Цвиллинга
улица Свободы
Комсомольская улица
улица Энгельса
Российская улица
проспект Победы
Российская улица
улица Горького
Российская улица
улица Сони Кривой
улица Сони Кривой
улица Сони Кривой
улица Карла Маркса
улица Карла Маркса
Tamic energy
Миасская улица
улица Лобкова
улица Свободы
площадь МОПРа
автодорога Меридиан
автодорога Меридиан
улица Кудрявцева
улица Кудрявцева
улица Потёмкина
улица 5-го Декабря
Зелёная улица
улица Ватутина
улица Черняховского
улица Попова
Жемчужная улица
Сухумский переулок
улица Ульяны Громовой
Артиллерийская улица
Троицкий тракт
автодорога Меридиан
Троицкий тракт
Троицкий тракт
Троицкий тракт
улица Дубинина
улица Морозова
Малая улица
улица 8 Марта
Заводская улица
автодорога Меридиан
автодорога Меридиан
улица Труда
улица Первой Пятилетки
Успенское кладбище
Юность
Подстанция СМП Центрального района
Свердловский проспект
Омская улица
улица Салтыкова
улица Дарвина
улица Блюхера
Карьер «Сопливчик»
Обкомовская дорога
улица Танкистов
улица Комарова
1-й переулок Лермонтова
улица Горького
Дублёр проспекта Ленина
Архитекторная улица
Салютная улица
Октябрьская улица
улица Марченко
улица 40-летия Октября
улица Ловина
улица Карпенко
Подольская улица
Южноуральская улица
улица Танкистов
улица Грибоедова
улица Культуры
Южноуральская улица
2-й переулок Лермонтова
улица Победы
Вязовая улица
Октябрьская улица
Вязовая улица
Линейная улица
улица Самохина
улица Конструктора Духова
Паросиловой переулок
Конвейерный переулок
Слаботочный переулок
улица Изобретателей
улица Изобретателей
Инженерная улица
Волочаевская улица
Пусковой переулок
улица Мечникова
Главная улица
Катерная улица
Катерная улица
улица Чоппа
Северная улица
улица Либединского
Гатчинская улица
улица Мечникова
улица Лобачевского
улица Лобкова
Каслинская улица
улица Работниц
улица Работниц
Каслинская улица
2092 км
улица Володарского
улица Володарского
улица Братьев Кашириных
Барнаульская улица
ПКиО им. О.И. Тищенко
улица Богдана Хмельницкого
Дачная улица
Трудовая улица
Миасс
Детский санаторий
1-я Восточная улица
Маршанская улица
улица Кузнецова
2-я Горная улица
Большой переулок
улица Горняков
2-я Восточная улица
3-я Восточная улица
1-й Шахтостроевский переулок
Шахтостроевская улица
Миньярская улица
Промысловая улица
Милицейская улица
Балтийская улица
Серозак
Туркменская улица
Уральская улица
Культурно-досуговый центр ОАО ЧКПЗ
улица Пирогова
Первоконная улица
Якорная улица
Семеноводческая улица
улица Нефтяников
улица Механизаторов
улица Калинина
улица Коммуны
Советская улица
улица Красных Казаков
Водопроводная улица
Рабоче-Колхозная улица
Рабоче-Колхозная улица
проспект Родионова
улица 250-летия Челябинска
Садовая улица
Заводская улица
Ключевая улица
Прибрежная улица
Тюльпанная улица
Тенистая улица
Парковая улица
Покровская улица
Радужная улица
улица Гидрострой
Ягодная улица
улица Гидрострой
улица Академика Сахарова
улица Академика Королёва
Благодатово
улица Лыжных батальонов
Новоградский проспект
Городская улица
Черкасская улица
Черкасская улица
проезд Шершневский Бор
Изумрудный карьер
Голубой карьер
Чикинка
ВЛ 220кВ Южноуральская ГРЭС - Шагол
4-я улица
2-я улица
1-я улица
улица Татищева
Биргильда
Миасс
Миасс
Рассветная улица
Малахитовая улица
Абрикосовая улица
Васильковая улица
Кленовая улица
Детская библиотека №12
Теорема
ТК «Фиеста»
Рубежная улица
Гвардейская улица
Зенит
Стационар
Терминал международых авиалиний
Свердловский проспект
Свердловский проспект
Свердловский проспект
Свердловский проспект
Свято-Троицкая церковь
Свято-Симеоновский кафедральный собор
БД «Спиридонов»
ТРК «Горки»
ТК «Комсомольский»
Специальная музыкальная школа
улица Савина
Миасс
улица Крылова
Хирургический корпус
улица Косарева
улица Бейвеля
Северо-Крымская улица
Северо-Крымская улица
Северо-Крымская улица
Шершнёвский каменный карьер
Детская городская клиническая поликлиника №3
Северо-Крымская улица
Партизанская улица
Двинская улица
Ледовая арена «Трактор»
Мелькомбинат 2 участок 3
ТК «Синегорье»
Братская улица
Троицкая улица
Троицкая улица
Томинская улица
Троицкий тракт
улица Крупской
улица Яблочкина
улица Энергетиков
улица 10
улица 9
улица 9
улица 1
улица 25
улица 23
улица 18
8-й Целинный переулок
Озеро Исаково
СНТ «Любитель 2»
Лыжная база
Градский
ГСК №8 «Автомобилист»
ТРК «Фокус»
Новороссийская улица
Новороссийская улица
Новороссийская улица
Новороссийская улица
улица Клары Цеткин
Южная улица
улица Володарского
Градское кладбище
Краткосрочная парковка (P1)
СНТ «Тракторосад 1»
СНТ «Любитель 1»
Северо-Западная котельная
Весенняя улица
Заводская улица
Сиреневая улица
Рябиновая улица
Садовая улица
Журавлиная улица
Степная улица
улица Кирова
площадь Революции
улица Лобырина
ТК «Беларусь»
Винницкая улица
ТК «Верона»
ТРК «Северо-Западный»
Центральная улица
улица Свободы
Трактовая улица
Западная улица
Пролетарская улица
Совхозная улица
Степная улица
улица Ленина
Старосмолинский каменный карьер
Система
Уральский привоз
Руслада
ТЦ «Маяк для дома»
Посуда-Центр
улица Сибирский переезд
проспект Ленина
Ухановский карьер
2-я Потребительская улица
Днепропетровская улица
Ярославская улица
улица Чарчана
Миасс
Горьковская улица
Миасс
Миасс
Биргильда
Естественно-технологический факультет  корпус 2
Союз-игрушка
Варненская улица
Сталелитейная улица
улица Пушкина
Челябинская областная универсальная научная библиотека
Центр делового сотрудничества
улица Пушкина
Следственное управление Следственного комитета Российской Федерации по Челябинской области
Детский мир
Свобода
улица Островского
Вольтаж Сервис
Речная улица
Электродная улица
улица Осипенко
улица Расковой
улица Жуковского
улица Маяковского
Полярная улица
Кислородная улица
Гражданский переулок
Электролитный переулок
улица Вострецова
Клинико-диагностическая лаборатория
Областная больница №2
Поликлиника
Родильный дом
Детская поликлиника
Общежитие №3 Челябинского государственного промышленно-гуманитарного техникума имени А.В.Яковлева
Общежитие №2
ТК «Панорама»
Новороссийский
Спортивный комплекс «Восход»
Заводоуправление
Общежитие №1
АБК
Отечественная улица
улица Южный бульвар
улица Агалакова
улица Вагнера
Лицей № 35 города Челябинска  филиал
Наутилус
Чичеринский
ТК «Садко»
Fit Zone
Градский
улица Энтузиастов
Калининский районный суд города Челябинска
Дом культуры ЧЭРЗ
улица Карла Либкнехта
Свердловский проспект
улица Труда
улица Смирных
РестИнвест  ООО
Челябинская ТЭЦ-3
проспект Родионова
улица Парк Б
Школьная улица
Смолеозёрная улица
Физкультурная улица
Теплотехнический институт
улица Кропоткина
Путевая улица
Рессорная улица
улица Шарова
Ударная улица
улица Мичурина
Локомотивная улица
Деповская улица
улица Карабанова
улица 30-летия Октября
Физкультурная улица
Севанская улица
Администрация рынка Перекресток
Объединенный государственный архив Челябинской области
Кулинария
ТК «Европа-Азия»
Зал камерной и органной музыки «Родина»
улица 8 Марта
Батайский переулок
улица Островского
улица Маяковского
улица Кислицина
Кутаисская улица
улица Серафимовича
улица Развития
Дальневосточная улица
1-й Северо-Крымский переулок
Парковая улица
2-й Северо-Крымский переулок
Совхозная улица
улица Жуковского
Неглинная улица
Стартовая улица
Полярная улица
улица Достоевского
улица Жуковского
Тепличная улица
улица Павлова
Неглинная улица
улица Джамбула
Сельскохозяйственная улица
Неглинная улица
улица Бехтерева
улица Маяковского
Актюбинская улица
Аргаяшская улица
Депутатский переулок
Школа фитнеса
Стартовая улица
улица Серафимовича
Еманжелинская улица
улица Щорса
Овражный переулок
улица Саблина
улица 30-летия Октября
Шершнёвская
Иртышская улица
Плужная улица
Низкая улица
Заболотная улица
Карьерный переулок
Чебаркульская улица
Курская улица
Садоводческая улица
Общественная улица
Оренбургская улица
Карагандинская улица
Круглый переулок
Златоустовская улица
улица Карпинского
1-я Томинская улица
